Semana          Algebra II T          Algebra II P         An. Mat. II T         An. Mat. II P         Fis. Gral. I T        Fis. Gral. I P        Fis. Exp. II T        Fis. Exp. II P       Fis. Gral. III T      Fis. Gral. III P     Met. Mat. Fis. I T    Met. Mat. Fis. I P      Fis. Exp. IV T        Fis. Exp. IV P       Electromag. II T      Electromag. II P         Mecanica T            Mecanica P         Mec. Cuant. II T      Mec. Cuant. II P    Term. Mec. Est. II T  Term. Mec. Est. II P     Especialidad T        Especialidad P         Fis. Cont. T          Fis. Cont. P       Trabajo Especial T    Trabajo Especial P  
01                   1.0                   2.0                   5.5                   0.5                     0                     0                  13.0                  11.0                  12.0                  23.5                  15.0                  83.0                   2.5                   2.0                   3.5                   7.5                   5.5                   9.0                   7.5                  15.5                   4.5                  15.5                   1.0                   3.0                   3.0                   8.5                  14.5                   0.5
02                   3.0                   6.5                  19.0                   9.5                  18.5                  64.0                  28.0                  53.5                  27.0                  65.0                  29.0                  46.5                  13.0                  20.5                  32.5                  31.5                  17.5                  33.5                   9.5                  65.0                   6.5                  25.0                   3.5                   8.5                  17.0                  20.5                   9.0                   4.5
03                   1.5                   5.0                   1.5                   3.0                   9.0                  43.0                   5.5                  57.0                  19.0                  29.0                  13.5                  40.5                   3.0                  19.0                  20.0                  33.0                  19.5                  25.5                   8.5                  39.5                   3.0                   4.0                   3.5                   8.5                  23.5                  54.0                  12.0                   7.0
04                   4.0                   3.5                   1.5                   7.0                  11.0                  46.0                   5.5                  55.0                  27.5                  53.0                  24.0                  43.5                   5.0                  24.5                   9.0                  26.5                   6.5                  42.5                  17.5                  36.0                     0                   6.0                   3.0                   8.0                  15.5                  19.5                  18.5                   9.0
05                   2.0                   1.5                   1.0                   1.5                   2.5                  12.0                   4.5                   8.0                   9.0                  24.5                  15.5                  61.5                     0                     0                   7.5                  24.5                  10.0                  15.0                  17.0                  35.5                   1.0                   3.5                   7.5                   9.0                   0.5                   7.0                   9.0                   2.0
06                     0                     0                     0                  10.0                   3.0                  17.0                   2.5                  13.0                  13.0                  24.5                  20.5                  50.0                     0                   3.0                  13.0                  47.0                     0                   8.0                     0                     0                   1.5                  28.5                   1.5                  11.0                   4.0                     0                  24.0                     0
07                     0                     0                     0                     0                   9.0                  16.0                   7.5                  47.0                  12.5                  39.5                   7.0                   6.0                     0                  15.0                   8.0                  12.5                   2.5                   3.5                     0                     0                   5.0                  13.5                   1.0                   8.0                   6.0                  32.5                   6.0                  16.0
08                     0                     0                   1.0                   1.0                   1.0                  11.0                   2.5                   7.5                   5.0                  13.5                  16.5                  42.5                     0                  17.0                     0                   5.5                   7.5                   6.5                   6.0                   2.5                   5.5                  26.0                     0                   5.0                  21.0                  40.5                   6.0                  22.5
09                     0                     0                     0                     0                   4.0                  11.0                   2.5                   5.0                   7.0                  14.0                  17.0                  30.5                     0                   5.0                   7.0                   4.5                   3.0                   3.0                  13.0                  26.0                   0.5                     0                     0                   7.0                  13.0                  10.0                   6.0                  18.5
10                     0                     0                     0                     0                   2.0                   7.0                   3.0                   4.0                   7.0                  10.5                  36.5                  27.5                     0                   2.5                     0                     0                     0                     0                   1.0                  20.0                     0                   1.5                     0                     0                   6.0                   9.0                   9.5                  12.5
11                     0                     0                     0                     0                   2.0                  10.5                   4.0                  17.0                   5.0                  11.0                  12.0                  37.5                     0                   1.5                   2.0                     0                   2.5                   0.5                   7.0                   9.0                     0                   2.5                   1.0                   1.0                  21.0                  33.5                   2.0                  21.5
12                     0                     0                     0                     0                   0.5                  16.0                   3.0                  33.0                   1.5                  12.5                  14.0                  13.5                     0                   1.0                   1.0                     0                   1.5                   1.0                     0                   0.5                     0                   1.5                   0.5                   2.5                   9.5                  14.0                   3.5                  17.0
13                     0                     0                     0                     0                   6.5                   8.0                   2.0                   8.5                  11.5                  10.5                  23.0                  27.0                     0                     0                     0                     0                   2.5                   5.0                     0                   1.0                     0                   7.5                   2.0                   2.0                  14.0                  18.0                     0                  21.0
14                     0                     0                     0                     0                   3.0                   9.0                   2.0                     0                   9.0                  12.0                  27.0                  38.0                     0                     0                     0                     0                     0                     0                  16.5                  33.0                   7.5                   6.5                     0                     0                   6.0                   7.0                     0                   9.0
15                     0                     0                     0                     0                   2.5                  13.0                     0                     0                   1.5                   9.5                  18.0                   7.5                     0                     0                     0                     0                     0                     0                   4.0                   3.0                   4.5                     0                     0                   5.5                   9.0                   4.0                     0                     0
